Reference,z_min,z_max,A_FUV,log_v,log_v_upper_error,log_v_lower_error,Symbols_used_in_Figure
Sanders et al. (2003),0.03,0.03,NA,-1.72,0.02,0.02,brown circle
Takeuchi et al. (2003),0.03,0.03,NA,-1.93,0.05,0.05,dark orange square
Magnelli et al. (2011),0.40,0.70,NA,-1.34,0.09,0.09,red open hexagons
Magnelli et al. (2011),0.70,1.00,NA,-0.96,0.15,0.15,
Magnelli et al. (2011),1.00,1.30,NA,-0.89,0.09,0.09,
Magnelli et al. (2011),1.30,1.50,NA,-0.91,0.11,0.11,
Magnelli et al. (2011),1.80,2.30,NA,-0.89,0.09,0.09,
Magnelli et al. (2013),0.40,0.70,NA,-1.22,0.28,0.28,red filled hexagons
Magnelli et al. (2013),0.70,1.00,NA,-1.10,0.15,0.15,
Magnelli et al. (2013),1.00,1.30,NA,-0.91,0.09,0.09,
Magnelli et al. (2013),1.30,1.50,NA,-0.94,0.08,0.08,
Gruppioni et al. (2013),1.80,2.30,NA,-0.90,0.15,0.15,dark red filled hexagons
Gruppioni et al. (2013),0.00,0.30,NA,-1.64,0.08,0.08,
Gruppioni et al. (2013),0.30,0.45,NA,-1.42,0.08,0.08,
Gruppioni et al. (2013),0.45,0.60,NA,-1.32,0.08,0.08,
Gruppioni et al. (2013),0.60,0.80,NA,-1.14,0.08,0.08,
Gruppioni et al. (2013),0.80,1.00,NA,-0.94,0.08,0.08,
Gruppioni et al. (2013),1.00,1.20,NA,-0.81,0.08,0.08,
Gruppioni et al. (2013),1.20,1.70,NA,-0.84,0.08,0.08,
Gruppioni et al. (2013),1.70,2.00,NA,-0.86,0.08,0.08,
Gruppioni et al. (2013),2.00,2.50,NA,-0.91,0.09,0.09,
Gruppioni et al. (2013),2.50,3.00,NA,-0.86,0.08,0.08,
Gruppioni et al. (2013),3.00,4.20,NA,-1.36,0.23,0.26,
